player,elo
Jaume Munar,1555.177938978501
Dan Martin,1510.759325989348
Chieh Fu Wang,1509.8758841440128
Germain Gigounon,1494.5488517955928
Patrik Kuhnen,1489.6635655005969
Alejandro Davidovich Fokina,1409.6660477650637
Patrick Kaukovalta,1490.9887599285983
Daniel Evans,1393.9845234653221
Andres Artunedo,1520.0
Bernabe Zapata Miralles,1595.8661754831085
Ante Pavic,1510.28774368332
Kris Van Wyk,1510.28774368332
Guido Andreozzi,1480.2432924857387
Roman Safiullin,1563.7602740622253
Rodrigo Pacheco Mendez,1489.811193658013
Hendrik Dreekmann,1493.0726187019454
Eduardo Masso,1491.3286958387207
Jack Brasington,1509.8718194969388
Alessandro Giannessi,1511.6899551887045
Dragos Dima,1480.0
Stefan Edberg,1342.133470347345
Colton Smith,1510.5767324057808
Arthur Fery,1487.48334530544
Timofey Skatov,1507.0280499316668
Paul Chamberlin,1477.956179802136
Alan Mackin,1496.1387284962693
Jordan Thompson,1463.275614212611
Robert Kendrick,1506.9136581919495
Alex Molcan,1533.7799886317293
Jeremy Chardy,1538.498959457443
Fabrice Santoro,1502.0056701970555
Jason Kubler,1514.2581566115612
Liam Draxl,1486.1915265476669
Nicolas Almagro,1545.1807042328355
Marc Gicquel,1494.3346378111305
Jerzy Janowicz,1417.921843136478
Aleksandar Kovacevic,1597.6627940291098
Miljan Zekic,1478.432284709409
Novak Djokovic,1722.5317505156438
Cooper Williams,1489.7356528254008
Laurent Lokoli,1506.45809065498
Fernando Meligeni,1490.0
Oleksii Krutykh,1528.1276411091364
Xavier Malisse,1456.8282922208723
Paolo Cane,1510.0
Tennys Sandgren,1475.9473115955232
Francisco Comesana,1556.5869401109462
Stefano Travaglia,1520.597292270725
Pedro Araujo,1510.0
Ergi Kirkin,1480.6085586655654
Antoine Escoffier,1519.9917251272818
Karim Alami,1506.4070508159268
Luka Pavlovic,1505.773666682025
Nikola Pilic,1518.7877934294868
Genaro Alberto Olivieri,1510.3334913399235
Valentin Vacherot,1613.0399000718978
Tim Henman,1500.8758858908936
Jamie Morgan,1493.523818039471
Andrea Arnaboldi,1506.5082981977475
Jan Choinski,1524.5922923946152
Jose Higueras,1479.175129610339
Thomaz Bellucci,1439.9839483458893
Kenneth Carlsen,1487.874102663229
Miloslav Mecir Jr,1480.039795951808
Dino Prizmic,1548.4628373970882
Luis Herrera,1488.3563214401602
Martin Klizan,1489.3232453129854
Ivan Gakhov,1489.4626738184263
Richey Reneberg,1502.300287279948
Jarmere Jenkins,1480.0
Ivo Heuberger,1516.1041896012475
Billy Harris,1493.8538907273662
Tomas Carbonell,1509.9670371248797
Riccardo Bonadio,1496.6909218427143
Mees Rottgering,1498.8187600706935
Matthew Ebden,1583.2217507128269
Rinky Hijikata,1530.220004005869
Janko Tipsarevic,1372.2115771935341
Ryo Tabata,1520.0
Hamad Medjedovic,1534.7803049170425
Henrik Holm,1508.0977073641295
Sandro Ehrat,1510.034821924071
Gastao Elias,1520.0
Gianluca Pozzi,1490.0564611372836
Vaclav Safranek,1506.8693097843502
Steven Diez,1486.8287318003947
Pedro Sousa,1477.7165443155623
Blaz Rola,1539.5297881070303
Brad Gilbert,1527.6394006304524
Gary Muller,1508.4405711877512
Sanjar Fayziev,1509.1514689454277
Karen Khachanov,1398.6277626125075
Ignacio Buse,1468.9143123100814
James Duckworth,1571.5456634639888
Federico Gaio,1457.3513710406248
Kei Nishikori,1316.3354410574188
Christophe Roger Vasselin,1479.8780825351128
Christophe Rochus,1480.050545584651
Ryan Harrison,1506.672403293492
Oliver Tarvet,1489.8172846848383
Mattia Bellucci,1398.3514553829878
Younes Lalami Laaroussi,1511.4875388505222
Thanasi Kokkinakis,1407.2327052971268
Marcelo Tomas Barrios Vera,1520.0
Murphy Cassone,1517.2277742748963
Benjamin Becker,1498.0578357564711
Sho Shimabukuro,1494.8220284344027
Marco Cecchinato,1672.8952974977249
Martin Borisiouk,1509.479907204074
Yuichi Sugita,1468.3035829772239
Matteo Martineau,1489.9668762433507
Mirza Basic,1476.911857240759
Alex Radulescu,1520.14743644758
Jurgen Zopp,1510.0
Max Schoenhaus,1520.0
Andreas Seppi,1371.8674990572013
Vitas Gerulaitis,1591.07361427553
Nikola Cacic,1519.7036901571664
Samuel Groth,1510.5206865904593
Mateus Alves,1514.6327285389455
Brian Dabul,1496.2883011012384
Filippo Volandri,1465.006780768459
Juan Pablo Varillas,1487.3091469339854
Jose Rubin Statham,1509.0763297993697
Guillermo Coria,1404.3324267869891
Facundo Diaz Acosta,1547.84743570893
Pablo Andujar,1413.1905765407118
Devin Britton,1494.8373966168783
Tomasz Berkieta,1480.0
Giovanni Lapentti,1510.0
Wayne Odesnik,1519.810512201931
Danilo Petrovic,1508.719314327668
Richard Krajicek,1384.2865741381815
Govind Nanda,1518.4164890579234
Alexander Zverev,1433.043696682343
Dzmitry Zhyrmont,1509.71225631668
Michael Redlicki,1510.0
Nicolas Jarry,1415.8083906555362
Alberto Mancini,1478.2990502504092
Darwin Blanch,1490.0
Daniel Michalski,1528.2585174436663
Mariano Zabaleta,1468.7795594388979
Peter Fajta,1511.6690672881302
Galo Blanco,1495.8300188961434
Paul Annacone,1493.2045846217106
Cedrik Marcel Stebe,1520.6072686483446
James Trotter,1510.0
Karim Mohamed Maamoun,1399.3294665268434
Tommy Paul,1424.7293104823725
Stefan Kozlov,1484.4441007728583
Lloyd Harris,1444.82248241923
Juan Carlos Prado Angelo,1480.1575362385327
Izak Van Der Merwe,1510.0
Mohamed Safwat,1491.6057505743554
Maks Kasnikowski,1488.6885459511066
David Guez,1509.8177620926454
Pablo Carreno Busta,1453.9738384872585
Ziga Sesko,1501.1500225556908
Amos Mansdorf,1489.1328118636936
Simone Bolelli,1494.3695706979718
Gerald Melzer,1490.302883670337
Carlos Taberner,1495.7663566034278
Javier Sanchez,1511.9089816315072
Adrian Mannarino,1389.1666785585937
Teymuraz Gabashvili,1474.368870091143
Nikolay Davydenko,1438.0187153190643
Victor Estrella,1473.697801156274
Tim Wilkison,1489.003198088241
Federico Coria,1464.9416596766312
Rod Frawley,1482.4077172467435
Jason Stoltenberg,1495.5524394910833
Matteo Gigante,1494.5633296164967
Taro Daniel,1487.471586416536
Rei Sakamoto,1461.1500225556908
Pablo Llamas Ruiz,1492.2971033845927
Quentin Halys,1570.7845379140442
Franco Squillari,1509.4249887221547
Prajnesh Gunneswaran,1487.431716481404
Gabriel Diallo,1624.4368172552017
Rudolf Molleker,1528.4516759630783
Bill Scanlon,1473.772152464312
Lorenzo Musetti,1390.2302161160353
Dominic Stricker,1486.9969371313225
Andreas Vinciguerra,1488.3696262823948
Ivan Dodig,1505.931083229697
Benjamin Bonzi,1543.7551404402568
Kasidit Samrej,1506.2805531148185
Christopher Heyman,1507.218163533973
Mats Wilander,1626.855892529276
Nino Serdarusic,1490.0
Max Purcell,1479.9449675821747
Carlos Gimeno Valero,1492.1468603271144
Ulises Blanch,1480.0
Raphael Collignon,1424.973872802475
Jan Kumstat,1520.0
Henrik Sundstrom,1511.4862529316563
Christian Saceanu,1491.7821094552478
Rudy Coco,1510.0
Botic Van De Zandschulp,1385.3361409232368
Daniel Nguyen,1490.28774368332
Ken Rosewall,1521.0076857302556
Vladimir Ivanov,1473.855212357414
Albano Olivetti,1520.497382582474
Uladzimir Ignatik,1488.027459402282
John Millman,1630.9233756239717
Kristof Vliegen,1512.1810015699139
Yu Hsiou Hsu,1522.5512974349808
Juan Martin Del Potro,1305.1114781556896
Albert Montanes,1506.613302157099
Thiago Monteiro,1491.6002461456505
Sebastian Korda,1387.145390228833
Felipe Meligeni Alves,1499.9881913849156
Thomas Enqvist,1527.3846160331173
Corentin Moutet,1397.3130328738441
Nicola Kuhn,1524.8736829440825
Ethan Quinn,1472.4856515882345
Cristian Garin,1427.7733876974107
Jimmy Wang,1537.9914315198503
Aleksandr Nedovyesov,1517.1456532058885
Guillermo Vilas,1494.9015841829785
Zachary Svajda,1536.193842618525
Ivo Minar,1495.1825083006775
Thai Son Kwiatkowski,1480.0
Jerome Golmard,1507.017246084543
Lucas Catarina,1520.4541018554444
Andrea Pellegrino,1490.5416882654154
Nick Kyrgios,1323.7752002707634
Roberto Marcora,1489.7339354343062
Sebastian Fanselow,1510.0
Andrea Vavassori,1518.4234091039593
Daniil Medvedev,1406.239722963865
Steve Denton,1521.0315313034253
Henri Laaksonen,1464.1743336536813
Fernando Verdasco,1583.6893707854656
Juncheng Shang,1488.8878116365279
Thomas Fabbiano,1488.8273445932482
Beibit Zhukayev,1489.6687655711285
Pedro Cachin,1536.4519161291205
Kaylan Bigun,1520.0
Clement Chidekh,1509.420638965112
Tristan Schoolkate,1528.114094282592
Harry Wendelken,1489.0373239235655
Adrien Bossel,1509.551975424752
Patrick Kypson,1520.4952233593356
Denis Kudla,1435.6745675097252
Magnus Gustafsson,1438.2567361384256
Stefanos Sakellaridis,1509.9609282159172
Reilly Opelka,1628.1576331553993
Paradorn Srichaphan,1528.372468428477
Andres Gomez,1516.7278723554082
Pavel Tsoy,1510.0
Sjeng Schalken,1452.9090784121615
Arthur Fils,1590.1923362995774
Stephane Robert,1491.8507046945094
Michel Kratochvil,1513.0535799057523
Paolo Lorenzi,1475.06830884831
Alejandro Gonzalez,1529.4249887221547
Brian Battistone,1510.0
Richard Gasquet,1444.201869466444
Todd Reid,1496.4277966986538
Mikael Pernfors,1447.1915770870307
Sergiy Stakhovsky,1508.994533640135
Johan Kriek,1506.8558743741728
Alexander Shevchenko,1480.233422185156
Grigor Dimitrov,1754.1554034508733
John Isner,1757.2865262476446
Karol Kucera,1438.8493146196527
Joakim Nystrom,1510.5750112778453
Alejandro Falla,1441.5069595641492
Alexander Cozbinov,1490.426560859517
Markus Hipfl,1488.7614905389578
Gabriel Markus,1487.3128814961717
Marcus Willis,1493.4723232453389
Tomas Smid,1508.6346163303278
Liang Chi Huang,1490.0
Younes El Aynaoui,1458.7930210337067
Albert Costa,1540.253480360553
Arnaud Di Pasquale,1508.7241968903154
Malek Jaziri,1486.511834715817
Franco Skugor,1493.163575524309
Carlos Alcaraz,1364.5514834550925
Libor Pimek,1489.6391750207883
Joao Menezes,1514.603411338212
Alberto Martin,1475.7053718996738
Igor Sijsling,1493.349132306565
Philipp Petzschner,1497.2862490143216
Nicolas Devilder,1484.6058511963222
Francesco Maestrelli,1480.9704774977529
Nicolai Budkov Kjaer,1521.6573686663162
Markus Eriksson,1520.0
Karsten Braasch,1494.120805071101
Matt Reid,1461.1500225556908
Guillermo Garcia Lopez,1444.7525210138372
Ivan Ivanov,1520.0
Carlos Eduardo Severino,1490.5750112778453
Harel Levy,1459.4706004681966
Coleman Wong,1511.3260030207252
Robin Soderling,1679.7199762234134
Giulio Zeppieri,1508.7830045877424
Marcos Daniel,1516.2075121256175
Denis Gremelmayr,1490.0989913025949
Arthur Rinderknech,1432.1002428279378
Holger Rune,1396.7461489449963
Sergio Cortes,1505.153612977864
Dylan Dietrich,1490.0
Tobias Kamke,1472.9891175445402
Arthur Cazaux,1505.230303838599
Jakub Mensik,1604.2519920840264
Nikolas Sanchez Izquierdo,1489.7110373646562
Nicolas Thomann,1516.3916927529278
Ramkumar Ramanathan,1510.0
Daniel Rincon,1490.3888164143527
Slobodan Zivojinovic,1450.3520441963356
Adrian Voinea,1490.7960295028608
Li Tu,1466.0841174720356
Alex Corretja,1596.5191976327174
Niels Visker,1490.0
Grega Zemlja,1518.8499774443092
Magnus Norman,1468.532360929252
Jiri Vanek,1524.964412574226
Luis Ayala,1480.0
Robby Ginepri,1537.8177792209651
Martin Landaluce,1487.2624969265028
Baptiste Crepatte,1520.1339916711581
Marin Cilic,1713.5473858907656
Marc Andrea Huesler,1447.1174113825648
Bernd Karbacher,1476.4560559442616
Florian Mayer,1423.1787208913554
Cameron Norrie,1435.4306378006472
Martin Verkerk,1516.93982513481
Jiri Novak,1441.2885641005078
Alexander Vasilenko,1477.7728900505151
Pedja Krstin,1479.182813931473
Elmer Moller,1484.2211310583107
Alexander Waske,1491.1423931416468
Florent Serra,1511.6133623711273
Gael Monfils,1593.0913245990466
Mikhail Kukushkin,1471.83560226023
Jozef Kovalik,1546.8679396803104
Paul Henri Mathieu,1595.5996738221925
Jiri Hrebec,1490.5750112778453
Miomir Kecmanovic,1340.70072680092
Vasek Pospisil,1627.8882593559292
Zdenek Kolar,1517.284009535386
Thiemo De Bakker,1482.614311770879
Jim Courier,1681.630668058773
Andrey Kuznetsov,1476.750052136739
Sebastian Ofner,1519.5463684588722
Nicholas Alan Van Aken,1509.9646885518105
Daniel Dutra Da Silva,1538.101346747246
Anders Jarryd,1522.174649206588
Lukas Neumayer,1466.6594539619748
Joachim Johansson,1457.1330760773576
Jaime Faria,1477.1387652142307
Eliot Spizzirri,1455.2201115409998
Yannick Noah,1501.4547400003335
Noah Rubin,1490.5621042484631
Liam Broady,1491.6953163516048
Bohdan Ulihrach,1496.5994696288953
Conner Huertas Del Pino,1510.0
Antoine Hoang,1521.3721295612895
Vilius Gaubas,1501.1364510417336
Jan Hernych,1486.703799729597
Aljaz Bedene,1474.8671666429566
Aaron Krickstein,1574.7296175960767
Nicolas Mejia,1525.9743665120452
Jenson Brooksby,1539.2416322231609
Alejandro Lopez Escribano,1490.0
Alexandr Binda,1510.0
Gilles Simon,1450.409854074597
Nattan Benjasupawan,1509.71225631668
Kelly Evernden,1491.2403764024523
Karel Novacek,1501.2076549198787
Andrei Medvedev,1448.1560079068431
Potito Starace,1484.2278603679692
Chun Hsin Tseng,1508.8822823690775
Francesco Passaro,1517.1292805264718
Benjamin Hassan,1490.0079509676862
Neil Borwick,1513.868387279013
Michael Westphal,1510.300690460293
Gijs Brouwer,1545.4539865465194
Jared Palmer,1506.403049016538
Daniel Vacek,1499.893759509477
Martin Redlicki,1490.0
Maxim Mrva,1520.5518575378137
Tomas Zib,1495.9695046939582
Jacob Fearnley,1471.1710274597733
Jan Kodes,1541.255430069249
Lorenzo Sonego,1620.8469328240683
Jaime Yzaga,1482.424131338297
Alberto Berasategui,1476.3886550999982
Juan Bautista Torres,1480.0
Jack Sock,1453.4988353308258
Andre Agassi,1325.6368866418482
Stefano Pescosolido,1507.2296147861778
Andrei Cherkasov,1517.9843286766209
Daniel Cox,1490.0
Julien Benneteau,1499.3528298344452
Michael Zheng,1523.2256806910973
Alex Barrena,1463.5546985065105
Saidalo Saidkarimov,1486.8574692473192
Pedro Martinez,1445.357349606942
Tsung Hua Yang,1517.440689390274
Frances Tiafoe,1358.6406621972048
Marcel Granollers,1482.649744513591
Mikhail Youzhny,1479.376273521669
Charles Broom,1493.3479540417734
Derrick Rostagno,1457.988737082646
Kevin Curren,1407.5693224145728
Christian Bergstrom,1489.2910232021673
Rohan Bopanna,1516.8302536129022
Alexander Ritschard,1518.8845377821724
Roscoe Tanner,1520.0
Adam Pavlasek,1484.0371359891972
Fabio Fognini,1435.2684630779868
Neale Fraser,1480.0
Robin Bertrand,1488.533024324582
Alex De Minaur,1371.329359348099
Diego Hartfield,1492.1242027435637
Alex Kuznetsov,1490.56675634087
Tommy Robredo,1416.6425394910991
Felix Mantilla,1516.9239970217998
Jarkko Nieminen,1491.9111173010087
Fitriadi M Rifqi,1510.0
Christian Harrison,1490.0
Farrukh Dustov,1478.9161778223724
Gianluigi Quinzi,1500.0
Ty Trombetta,1480.0
Giovanni Mpetshi Perricard,1594.5202510987097
Sebastian Baez,1389.4670180728851
Maxime Cressy,1709.715457603423
Max Hans Rehberg,1527.3388075739022
Bobby Reynolds,1495.6574848219877
Sebastien Grosjean,1563.9293384133189
Vincent Millot,1479.42451263336
Agustin Calleri,1479.0422131530108
Robin Haase,1471.5668091445905
Attila Balazs,1529.935594579893
Jurij Rodionov,1517.3376851940893
Max Mirnyi,1552.4355922354825
